[2026-05-13T08:43:39.533Z] P:8 | Offset:7635 | Data:{"id":7,"item":"Product 7","price":95191,"region":
[2026-05-13T08:43:39.543Z] P:8 | Offset:7636 | Data:{"id":10,"item":"Product 10","price":92267,"region
[2026-05-13T08:43:39.543Z] P:8 | Offset:7637 | Data:{"id":11,"item":"Product 11","price":3300,"region"
[2026-05-13T08:43:39.543Z] P:8 | Offset:7638 | Data:{"id":15,"item":"Product 15","price":96550,"region
[2026-05-13T08:43:39.543Z] P:8 | Offset:7639 | Data:{"id":24,"item":"Product 24","price":46932,"region
[2026-05-13T08:43:39.543Z] P:8 | Offset:7640 | Data:{"id":25,"item":"Product 25","price":6737,"region"
[2026-05-13T08:43:39.543Z] P:8 | Offset:7641 | Data:{"id":27,"item":"Product 27","price":6065,"region"
[2026-05-13T08:43:39.543Z] P:8 | Offset:7642 | Data:{"id":33,"item":"Product 33","price":86877,"region
[2026-05-13T08:43:39.543Z] P:8 | Offset:7643 | Data:{"id":42,"item":"Product 42","price":32837,"region
[2026-05-13T08:43:39.543Z] P:8 | Offset:7644 | Data:{"id":49,"item":"Product 49","price":63841,"region
[2026-05-13T08:43:39.543Z] P:8 | Offset:7645 | Data:{"id":70,"item":"Product 70","price":16401,"region
[2026-05-13T08:43:39.543Z] P:8 | Offset:7646 | Data:{"id":90,"item":"Product 90","price":14516,"region
[2026-05-13T08:43:39.543Z] P:8 | Offset:7647 | Data:{"id":109,"item":"Product 109","price":93383,"regi
[2026-05-13T08:43:39.543Z] P:8 | Offset:7648 | Data:{"id":119,"item":"Product 119","price":41989,"regi
[2026-05-13T08:43:39.543Z] P:8 | Offset:7649 | Data:{"id":123,"item":"Product 123","price":59131,"regi
[2026-05-13T08:43:39.543Z] P:8 | Offset:7650 | Data:{"id":128,"item":"Product 128","price":30694,"regi
[2026-05-13T08:43:39.543Z] P:8 | Offset:7651 | Data:{"id":151,"item":"Product 151","price":51143,"regi
[2026-05-13T08:43:39.543Z] P:8 | Offset:7652 | Data:{"id":158,"item":"Product 158","price":64675,"regi
[2026-05-13T08:43:39.543Z] P:8 | Offset:7653 | Data:{"id":164,"item":"Product 164","price":65160,"regi
[2026-05-13T08:43:39.543Z] P:8 | Offset:7654 | Data:{"id":179,"item":"Product 179","price":85624,"regi
